mb_id,name,type
820cbcc5-6874-4350-9abf-63cb18ce2d8e,Alex Mason,Person
58c12dfb-dfff-4055-88d6-fd920c1fa030,Alex Monakhov,Person
3218a7eb-f5db-4d02-b084-023a7492e799,Alex Morozovskiy,Person
b5f2715c-4de8-453a-ac75-ef3893457d82,Alex Nowen,Person
8d5831dc-646c-46ae-b8ac-18d3b44b75eb,Alex Orishchuk,Person
69f127b0-cbac-49a7-a4aa-26caf6728605,Alex Pich,Person
131b0f59-1106-4ddb-b1c6-b87ae17f7c3d,Alex Pusher,Person
f791ef33-a81a-4dd7-bb3f-310992309c33,Alex Shik,Person
4a159e06-bb09-4938-92a8-879772022320,Alex Sipiagin,Person
0b89935d-9d6d-4ad8-8b09-89228e09b0fa,Alex Sparrow,Person
4a9941d7-1a51-47ba-bb11-22f09538fc0e,Alex Stealthy,
33ff2c57-a15c-413c-be71-4ac4bd02b002,Alex Trinnity,Person
51f440f0-5619-44df-b486-5267e3bdb40f,Alex Versetta,Person
9e3a8874-43f3-4bb7-bada-79dc825f0546,"Alexander ""Sasha"" Krivstov",Person
0cb682d0-3304-46bb-bf6d-1051c00077fd,Alexander Abramsky,Person
ef36c8be-bdc9-4907-a7ee-4d036cd0cb89,Alexander Bapa,Person
7435a29c-5d10-47e6-947c-ebc18638a8e6,Alexander Barantschik,Person
5a43423a-d6c5-41f5-b5d7-a087344b9185,Alexander Barkov,Person
6551ce77-c4d5-4784-ac19-0fc328994011,Alexander Binichki,Person
932ed4bc-356e-4c9c-bbb2-2ee0f8566259,Alexander Borisov,Person
a8f8d1c7-dbb9-4b57-bf3d-9a762b8a1ec1,Alexander Borovykh,Person
5b178dee-8343-4a5a-b4de-de84b41602a1,Alexander Chromov,Person
9dd6b4fa-f9b5-4355-875e-f2fd87a6c91c,Alexander Daf,Person
6ba176af-f804-474c-95de-cdf868fe9bc5,Alexander Davidenko,Person
dbcdbe1a-c657-45bf-ba44-b634257552dd,Alexander Fischer,Person
1c57572a-a945-42f7-bac0-fc5c9d5be025,Alexander Flessburg,Person
d5a5eece-bad8-467a-a007-0e411ab83127,Alexander Gavostov,Person
4a46c7c5-4664-436b-9f86-06b6289a38ac,Alexander Gerasimov,Person
796974b2-9138-4ef4-af78-b9c9d3f87b64,Alexander Geringas,Person
d01dba3b-0519-4a0c-baed-a81f8a58b249,Alexander Ghindin,Person
d75113e0-1fbc-44ed-b4c4-717ea1202292,Alexander Govorov,Person
c992e92a-f294-4bcd-bd4e-54d44cf1e7c5,Alexander III of Russia,Person
3f7981b4-01c7-4651-80c9-d54d1828abf2,Alexander Ivanov,Person
0e0ca572-85e1-416d-93b1-45f1a74ba447,Alexander Kagan,Person
3feac02b-2bcd-4b1c-a261-3bc2f8d4f35e,Alexander Kniazev,Person
8c5d89d3-1f1d-45ad-8dc9-6501ef689d6e,Alexander Kobrin,Person
15d4e24b-1928-4e12-b2a6-d7b5dbcbbd17,Alexander Kogan,Person
560924a8-e8aa-423e-8aef-d9a846d8c2b0,Alexander Korneev,Person
e2d1fb22-991b-437a-9e2d-73c911faf9b4,Alexander Kravets,Person
e560485a-d7ba-463e-9342-96eeee162725,Alexander Krein,Person
add57827-6994-4767-93fd-97f46bbbc780,Alexander Kuzovlev,Person
47aef7c0-5d80-4fe0-8039-8ce02827d282,Alexander Labko,Person
9bcbd186-4409-4a22-ba57-3b89f0d5fdb1,Alexander Lebedev-Frontov,Person
da0cb61b-7770-4320-8aa0-fe80b130ac14,Alexander Levine,Person
8fbcd884-c033-4d8d-a430-fa95c2a27563,Alexander Loskutov,Person
0e454ac9-d2cc-4447-b519-a9afb5963b89,Alexander Maiorov,Person
ae1323d2-cd19-4232-9765-3fc6bd7c1ebf,Alexander Malter,Person
64a2cc5b-2cc3-4f25-b2de-1462f9cdb133,Alexander Markov,Person
c1837db6-8cba-46b2-a3b4-1b2afc697f07,Alexander Markovich,Person
8c646218-45c8-4475-84e5-9c8fb0e717ab,Alexander Matrosov,Person
30dc18fb-6465-4415-9ade-e2e959d75143,Alexander Maykapar,Person
d8b8e2f0-ccb0-4d43-b5c6-657005147528,Alexander Melnikov,Person
e069b1ce-642f-48b3-a7a1-720a4351214b,Alexander Mikyailov,Person
3b5ca9e4-32b4-43bc-ac76-b2350abdd96f,Alexander Minashkin,Person
eff60a6e-e344-49d8-a5bf-cbf15793b710,Alexander Mogilevsky,Person
6ca9e83c-14b4-4a76-ae8e-ac1e0c90b8fb,Alexander Morozov,Person
